a,b,c,d,e,f
Chris20,Def,3,Michael7,na,8
Vivien3,Off,8,Max14,Off,5
Tom11,na,3,Khoman 6,Def,6
John4,Off,4,Joeseph9,Def,7
Score,,0,,,3
,,,,,
Game ID: ,947,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,John4,Off,4
Jessica10,Off,7,Khoman 6,Def,6
Jonathan5,Def,9,Jeffrey1,Off,7
Chris20,Def,3,Danny19,na,9
Frank8,Off,9,,,
Score,,1,,,0
,,,,,
Game ID: ,948,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,John4,Off,4
Jessica10,Off,7,Khoman 6,Def,6
Jonathan5,Def,9,Jeffrey1,Off,7
Chris20,Def,3,Danny19,na,9
Frank8,Off,9,,,
Score,,2,,,0
,,,,,
Game ID: ,949,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Chris20,Def,3
Michael7,na,8,Jessica10,Off,7
Jonathan5,Def,9,Max14,Off,5
Frank8,Off,9,John4,Off,4
Danny19,na,9,Marcus17,Def,4
Score,,8,,,0
,,,,,
Game ID: ,950,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Chris20,Def,3
Michael7,na,8,Jessica10,Off,7
Jonathan5,Def,9,Max14,Off,5
Frank8,Off,9,John4,Off,4
Danny19,na,9,Marcus17,Def,4
Score,,8,,,0
,,,,,
Game ID: ,951,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Marcus17,Def,4
Vivien3,Off,8,John4,Off,4
Frank8,Off,9,Martin16,Off,6
Jessica10,Off,7,Danny19,na,9
Ryan18,na,5,Michael7,na,8
Karen13,Def,7,Jeffrey1,Off,7
Tom11,na,3,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,952,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Marcus17,Def,4
Vivien3,Off,8,John4,Off,4
Frank8,Off,9,Martin16,Off,6
Jessica10,Off,7,Danny19,na,9
Ryan18,na,5,Michael7,na,8
Karen13,Def,7,Jeffrey1,Off,7
Tom11,na,3,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,953,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Jessica10,Off,7
Jeffrey1,Off,7,Karen13,Def,7
Jonathan5,Def,9,Marcus17,Def,4
Joeseph9,Def,7,Danny19,na,9
Frank8,Off,9,Alex2,Off,3
Jose15,Def,8,,,
Score,,4,,,0
,,,,,
Game ID: ,954,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Jessica10,Off,7
Jeffrey1,Off,7,Karen13,Def,7
Jonathan5,Def,9,Marcus17,Def,4
Joeseph9,Def,7,Danny19,na,9
Frank8,Off,9,Alex2,Off,3
Jose15,Def,8,,,
Score,,4,,,0
,,,,,
Game ID: ,955,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Karen13,Def,7,Michael7,na,8
Vivien3,Off,8,Jessica10,Off,7
Danny19,na,9,Max14,Off,5
Score,,3,,,0
,,,,,
Game ID: ,956,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Karen13,Def,7,Michael7,na,8
Vivien3,Off,8,Jessica10,Off,7
Danny19,na,9,Max14,Off,5
Score,,3,,,0
,,,,,
Game ID: ,957,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Danny19,na,9
Michael7,na,8,Khoman 6,Def,6
Jeffrey1,Off,7,Martin16,Off,6
Jose15,Def,8,Max14,Off,5
Karen13,Def,7,Sherman12,Def,5
John4,Off,4,Marcus17,Def,4
Tom11,na,3,Chris20,Def,3
Vivien3,Off,8,Alex2,Off,3
Score,,2,,,0
,,,,,
Game ID: ,958,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Danny19,na,9
Michael7,na,8,Khoman 6,Def,6
Jeffrey1,Off,7,Martin16,Off,6
Jose15,Def,8,Max14,Off,5
Karen13,Def,7,Sherman12,Def,5
John4,Off,4,Marcus17,Def,4
Tom11,na,3,Chris20,Def,3
Vivien3,Off,8,Alex2,Off,3
Score,,2,,,0
,,,,,
Game ID: ,959,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Joeseph9,Def,7
Sherman12,Def,5,Vivien3,Off,8
Martin16,Off,6,Jose15,Def,8
Tom11,na,3,Max14,Off,5
Chris20,Def,3,Frank8,Off,9
Score,,0,,,6
,,,,,
Game ID: ,960,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Joeseph9,Def,7
Sherman12,Def,5,Vivien3,Off,8
Martin16,Off,6,Jose15,Def,8
Tom11,na,3,Max14,Off,5
Chris20,Def,3,Frank8,Off,9
Score,,0,,,6
,,,,,
Game ID: ,961,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Martin16,Off,6
Joeseph9,Def,7,Danny19,na,9
Alex2,Off,3,Khoman 6,Def,6
John4,Off,4,Tom11,na,3
Score,,0,,,4
,,,,,
Game ID: ,962,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Martin16,Off,6
Joeseph9,Def,7,Danny19,na,9
Alex2,Off,3,Khoman 6,Def,6
John4,Off,4,Tom11,na,3
Score,,0,,,4
,,,,,
Game ID: ,963,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Frank8,Off,9
Martin16,Off,6,Khoman 6,Def,6
Jeffrey1,Off,7,Vivien3,Off,8
Karen13,Def,7,Danny19,na,9
Tom11,na,3,Max14,Off,5
Chris20,Def,3,Jessica10,Off,7
Alex2,Off,3,Jonathan5,Def,9
Jose15,Def,8,Sherman12,Def,5
Score,,0,,,5
,,,,,
Game ID: ,964,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Frank8,Off,9
Martin16,Off,6,Khoman 6,Def,6
Jeffrey1,Off,7,Vivien3,Off,8
Karen13,Def,7,Danny19,na,9
Tom11,na,3,Max14,Off,5
Chris20,Def,3,Jessica10,Off,7
Alex2,Off,3,Jonathan5,Def,9
Jose15,Def,8,Sherman12,Def,5
Score,,0,,,4
,,,,,
Game ID: ,965,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Vivien3,Off,8
Jeffrey1,Off,7,Marcus17,Def,4
Jose15,Def,8,John4,Off,4
Khoman 6,Def,6,Chris20,Def,3
Joeseph9,Def,7,Jessica10,Off,7
Danny19,na,9,Karen13,Def,7
Jonathan5,Def,9,Ryan18,na,5
Martin16,Off,6,,,
Score,,7,,,0
,,,,,
Game ID: ,966,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Vivien3,Off,8
Jeffrey1,Off,7,Marcus17,Def,4
Jose15,Def,8,John4,Off,4
Khoman 6,Def,6,Chris20,Def,3
Joeseph9,Def,7,Jessica10,Off,7
Danny19,na,9,Karen13,Def,7
Jonathan5,Def,9,Ryan18,na,5
Martin16,Off,6,,,
Score,,6,,,0
,,,,,
Game ID: ,967,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Khoman 6,Def,6
Danny19,na,9,Vivien3,Off,8
Jeffrey1,Off,7,Chris20,Def,3
Jose15,Def,8,Martin16,Off,6
Jonathan5,Def,9,Ryan18,na,5
Jessica10,Off,7,John4,Off,4
Tom11,na,3,Marcus17,Def,4
Alex2,Off,3,,,
Score,,5,,,0
,,,,,
Game ID: ,968,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Khoman 6,Def,6
Danny19,na,9,Vivien3,Off,8
Jeffrey1,Off,7,Chris20,Def,3
Jose15,Def,8,Martin16,Off,6
Jonathan5,Def,9,Ryan18,na,5
Jessica10,Off,7,John4,Off,4
Tom11,na,3,Marcus17,Def,4
Alex2,Off,3,,,
Score,,4,,,0
,,,,,
Game ID: ,969,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,John4,Off,4
Tom11,na,3,Ryan18,na,5
Karen13,Def,7,Jonathan5,Def,9
Michael7,na,8,Frank8,Off,9
Jeffrey1,Off,7,Alex2,Off,3
Max14,Off,5,Danny19,na,9
Jessica10,Off,7,Marcus17,Def,4
Joeseph9,Def,7,,,
Score,,3,,,0
,,,,,
Game ID: ,970,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,John4,Off,4
Tom11,na,3,Ryan18,na,5
Karen13,Def,7,Jonathan5,Def,9
Michael7,na,8,Frank8,Off,9
Jeffrey1,Off,7,Alex2,Off,3
Max14,Off,5,Danny19,na,9
Jessica10,Off,7,Marcus17,Def,4
Joeseph9,Def,7,,,
Score,,2,,,0
,,,,,
Game ID: ,971,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jessica10,Off,7
Khoman 6,Def,6,Jonathan5,Def,9
Marcus17,Def,4,Ryan18,na,5
Frank8,Off,9,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,972,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jessica10,Off,7
Khoman 6,Def,6,Jonathan5,Def,9
Marcus17,Def,4,Ryan18,na,5
Frank8,Off,9,Jeffrey1,Off,7
Score,,0,,,0
,,,,,
Game ID: ,973,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Ryan18,na,5
Max14,Off,5,Tom11,na,3
Martin16,Off,6,Vivien3,Off,8
Joeseph9,Def,7,Karen13,Def,7
Chris20,Def,3,Jose15,Def,8
Michael7,na,8,Jonathan5,Def,9
Alex2,Off,3,Frank8,Off,9
Score,,0,,,6
,,,,,
Game ID: ,974,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Ryan18,na,5
Max14,Off,5,Tom11,na,3
Martin16,Off,6,Vivien3,Off,8
Joeseph9,Def,7,Karen13,Def,7
Chris20,Def,3,Jose15,Def,8
Michael7,na,8,Jonathan5,Def,9
Alex2,Off,3,Frank8,Off,9
Score,,0,,,4
,,,,,
Game ID: ,975,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Vivien3,Off,8
Jessica10,Off,7,Joeseph9,Def,7
Alex2,Off,3,Tom11,na,3
Martin16,Off,6,Jose15,Def,8
Danny19,na,9,John4,Off,4
Marcus17,Def,4,Khoman 6,Def,6
Jonathan5,Def,9,Ryan18,na,5
Karen13,Def,7,Jeffrey1,Off,7
Score,,0,,,0
,,,,,
Game ID: ,976,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Vivien3,Off,8
Jessica10,Off,7,Joeseph9,Def,7
Alex2,Off,3,Tom11,na,3
Martin16,Off,6,Jose15,Def,8
Danny19,na,9,John4,Off,4
Marcus17,Def,4,Khoman 6,Def,6
Jonathan5,Def,9,Ryan18,na,5
Karen13,Def,7,Jeffrey1,Off,7
Score,,1,,,0
,,,,,
Game ID: ,977,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Danny19,na,9
Tom11,na,3,Ryan18,na,5
Jeffrey1,Off,7,Frank8,Off,9
Martin16,Off,6,Jose15,Def,8
Sherman12,Def,5,Jessica10,Off,7
Marcus17,Def,4,Chris20,Def,3
Joeseph9,Def,7,Michael7,na,8
Score,,0,,,5
,,,,,
Game ID: ,978,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Danny19,na,9
Tom11,na,3,Ryan18,na,5
Jeffrey1,Off,7,Frank8,Off,9
Martin16,Off,6,Jose15,Def,8
Sherman12,Def,5,Jessica10,Off,7
Marcus17,Def,4,Chris20,Def,3
Joeseph9,Def,7,Michael7,na,8
Score,,0,,,4
,,,,,
Game ID: ,979,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Chris20,Def,3
Sherman12,Def,5,Karen13,Def,7
Jose15,Def,8,Alex2,Off,3
Jeffrey1,Off,7,Martin16,Off,6
Score,,4,,,0
,,,,,
Game ID: ,980,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Chris20,Def,3
Sherman12,Def,5,Karen13,Def,7
Jose15,Def,8,Alex2,Off,3
Jeffrey1,Off,7,Martin16,Off,6
Score,,3,,,0
,,,,,
Game ID: ,981,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,John4,Off,4
Khoman 6,Def,6,Frank8,Off,9
Ryan18,na,5,Joeseph9,Def,7
Danny19,na,9,Vivien3,Off,8
Jonathan5,Def,9,,,
Score,,3,,,0
,,,,,
Game ID: ,982,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,John4,Off,4
Khoman 6,Def,6,Frank8,Off,9
Ryan18,na,5,Joeseph9,Def,7
Danny19,na,9,Vivien3,Off,8
Jonathan5,Def,9,,,
Score,,1,,,0
,,,,,
Game ID: ,983,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Danny19,na,9
Alex2,Off,3,Sherman12,Def,5
Max14,Off,5,Frank8,Off,9
Marcus17,Def,4,Jonathan5,Def,9
Chris20,Def,3,Michael7,na,8
Score,,0,,,9
,,,,,
Game ID: ,984,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Danny19,na,9
Alex2,Off,3,Sherman12,Def,5
Max14,Off,5,Frank8,Off,9
Marcus17,Def,4,Jonathan5,Def,9
Chris20,Def,3,Michael7,na,8
Score,,0,,,8
,,,,,
Game ID: ,985,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Chris20,Def,3
Ryan18,na,5,Max14,Off,5
Karen13,Def,7,Jose15,Def,8
Danny19,na,9,Jeffrey1,Off,7
Vivien3,Off,8,Tom11,na,3
Alex2,Off,3,Khoman 6,Def,6
Jessica10,Off,7,Joeseph9,Def,7
Jonathan5,Def,9,,,
Score,,5,,,0
,,,,,
Game ID: ,986,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Chris20,Def,3
Ryan18,na,5,Max14,Off,5
Karen13,Def,7,Jose15,Def,8
Danny19,na,9,Jeffrey1,Off,7
Vivien3,Off,8,Tom11,na,3
Alex2,Off,3,Khoman 6,Def,6
Jessica10,Off,7,Joeseph9,Def,7
Jonathan5,Def,9,,,
Score,,3,,,0
,,,,,
Game ID: ,987,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Khoman 6,Def,6
Karen13,Def,7,Frank8,Off,9
Vivien3,Off,8,John4,Off,4
Jessica10,Off,7,Michael7,na,8
Jonathan5,Def,9,Jeffrey1,Off,7
Danny19,na,9,Jose15,Def,8
Martin16,Off,6,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,988,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Khoman 6,Def,6
Karen13,Def,7,Frank8,Off,9
Vivien3,Off,8,John4,Off,4
Jessica10,Off,7,Michael7,na,8
Jonathan5,Def,9,Jeffrey1,Off,7
Danny19,na,9,Jose15,Def,8
Martin16,Off,6,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,989,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,John4,Off,4
Jeffrey1,Off,7,Alex2,Off,3
Ryan18,na,5,Khoman 6,Def,6
Frank8,Off,9,Marcus17,Def,4
Jonathan5,Def,9,Vivien3,Off,8
Joeseph9,Def,7,Jose15,Def,8
Sherman12,Def,5,Max14,Off,5
Score,,3,,,0
,,,,,
Game ID: ,990,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,John4,Off,4
Jeffrey1,Off,7,Alex2,Off,3
Ryan18,na,5,Khoman 6,Def,6
Frank8,Off,9,Marcus17,Def,4
Jonathan5,Def,9,Vivien3,Off,8
Joeseph9,Def,7,Jose15,Def,8
Sherman12,Def,5,Max14,Off,5
Score,,2,,,0
,,,,,
Game ID: ,991,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Jessica10,Off,7
Martin16,Off,6,Joeseph9,Def,7
Jonathan5,Def,9,Frank8,Off,9
Danny19,na,9,Ryan18,na,5
Marcus17,Def,4,Michael7,na,8
John4,Off,4,Khoman 6,Def,6
Score,,0,,,1
,,,,,
Game ID: ,992,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Jessica10,Off,7
Martin16,Off,6,Joeseph9,Def,7
Jonathan5,Def,9,Frank8,Off,9
Danny19,na,9,Ryan18,na,5
Marcus17,Def,4,Michael7,na,8
John4,Off,4,Khoman 6,Def,6
Score,,0,,,1
,,,,,
Game ID: ,993,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Frank8,Off,9
Jose15,Def,8,Jessica10,Off,7
Danny19,na,9,Joeseph9,Def,7
Michael7,na,8,Jonathan5,Def,9
Chris20,Def,3,Martin16,Off,6
Jeffrey1,Off,7,Sherman12,Def,5
Marcus17,Def,4,Ryan18,na,5
Max14,Off,5,Vivien3,Off,8
Score,,0,,,2
,,,,,
Game ID: ,994,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Frank8,Off,9
Jose15,Def,8,Jessica10,Off,7
Danny19,na,9,Joeseph9,Def,7
Michael7,na,8,Jonathan5,Def,9
Chris20,Def,3,Martin16,Off,6
Jeffrey1,Off,7,Sherman12,Def,5
Marcus17,Def,4,Ryan18,na,5
Max14,Off,5,Vivien3,Off,8
Score,,0,,,2
,,,,,
Game ID: ,995,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Frank8,Off,9
Jonathan5,Def,9,Jose15,Def,8
Jeffrey1,Off,7,Max14,Off,5
Ryan18,na,5,Alex2,Off,3
Sherman12,Def,5,Joeseph9,Def,7
Score,,0,,,1
,,,,,
Game ID: ,996,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Frank8,Off,9
Jonathan5,Def,9,Jose15,Def,8
Jeffrey1,Off,7,Max14,Off,5
Ryan18,na,5,Alex2,Off,3
Sherman12,Def,5,Joeseph9,Def,7
Score,,1,,,0
,,,,,
Game ID: ,997,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Sherman12,Def,5
Michael7,na,8,Ryan18,na,5
Max14,Off,5,Vivien3,Off,8
Jonathan5,Def,9,Frank8,Off,9
Score,,3,,,0
,,,,,
Game ID: ,998,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Sherman12,Def,5
Michael7,na,8,Ryan18,na,5
Max14,Off,5,Vivien3,Off,8
Jonathan5,Def,9,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,999,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jeffrey1,Off,7
Ryan18,na,5,Tom11,na,3
Karen13,Def,7,Joeseph9,Def,7
Chris20,Def,3,Jonathan5,Def,9
Max14,Off,5,Michael7,na,8
Score,,0,,,2
,,,,,
Game ID: ,1000,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jeffrey1,Off,7
Ryan18,na,5,Tom11,na,3
Karen13,Def,7,Joeseph9,Def,7
Chris20,Def,3,Jonathan5,Def,9
Max14,Off,5,Michael7,na,8
Score,,0,,,2
,,,,,
Game ID: ,1001,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Marcus17,Def,4
Danny19,na,9,Jonathan5,Def,9
Joeseph9,Def,7,Tom11,na,3
Michael7,na,8,Jessica10,Off,7
Alex2,Off,3,Frank8,Off,9
Sherman12,Def,5,Vivien3,Off,8
Ryan18,na,5,Khoman 6,Def,6
Score,,0,,,2
,,,,,
Game ID: ,1002,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Marcus17,Def,4
Danny19,na,9,Jonathan5,Def,9
Joeseph9,Def,7,Tom11,na,3
Michael7,na,8,Jessica10,Off,7
Alex2,Off,3,Frank8,Off,9
Sherman12,Def,5,Vivien3,Off,8
Ryan18,na,5,Khoman 6,Def,6
Score,,0,,,1
,,,,,
Game ID: ,1003,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Jessica10,Off,7
Vivien3,Off,8,John4,Off,4
Jeffrey1,Off,7,Joeseph9,Def,7
Ryan18,na,5,Khoman 6,Def,6
Danny19,na,9,Marcus17,Def,4
Chris20,Def,3,Martin16,Off,6
Alex2,Off,3,Tom11,na,3
Michael7,na,8,Sherman12,Def,5
Score,,0,,,0
,,,,,
Game ID: ,1004,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Jessica10,Off,7
Vivien3,Off,8,John4,Off,4
Jeffrey1,Off,7,Joeseph9,Def,7
Ryan18,na,5,Khoman 6,Def,6
Danny19,na,9,Marcus17,Def,4
Chris20,Def,3,Martin16,Off,6
Alex2,Off,3,Tom11,na,3
Michael7,na,8,Sherman12,Def,5
Score,,2,,,0
,,,,,
Game ID: ,1005,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jeffrey1,Off,7
Tom11,na,3,Max14,Off,5
Marcus17,Def,4,Jose15,Def,8
Jessica10,Off,7,Chris20,Def,3
Ryan18,na,5,Alex2,Off,3
Score,,0,,,1
,,,,,
Game ID: ,1006,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jeffrey1,Off,7
Tom11,na,3,Max14,Off,5
Marcus17,Def,4,Jose15,Def,8
Jessica10,Off,7,Chris20,Def,3
Ryan18,na,5,Alex2,Off,3
Score,,0,,,1
,,,,,
Game ID: ,1007,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Khoman 6,Def,6,Max14,Off,5
Vivien3,Off,8,Michael7,na,8
Danny19,na,9,Tom11,na,3
Chris20,Def,3,Jose15,Def,8
Jeffrey1,Off,7,,,
Score,,4,,,0
,,,,,
Game ID: ,1008,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Khoman 6,Def,6,Max14,Off,5
Vivien3,Off,8,Michael7,na,8
Danny19,na,9,Tom11,na,3
Chris20,Def,3,Jose15,Def,8
Jeffrey1,Off,7,,,
Score,,3,,,0
,,,,,
Game ID: ,1009,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Tom11,na,3
Joeseph9,Def,7,Karen13,Def,7
Jeffrey1,Off,7,Marcus17,Def,4
Danny19,na,9,Ryan18,na,5
Vivien3,Off,8,Michael7,na,8
Alex2,Off,3,Jessica10,Off,7
Chris20,Def,3,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,1010,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Tom11,na,3
Joeseph9,Def,7,Karen13,Def,7
Jeffrey1,Off,7,Marcus17,Def,4
Danny19,na,9,Ryan18,na,5
Vivien3,Off,8,Michael7,na,8
Alex2,Off,3,Jessica10,Off,7
Chris20,Def,3,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,1011,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Max14,Off,5
Alex2,Off,3,Khoman 6,Def,6
Vivien3,Off,8,Jessica10,Off,7
Chris20,Def,3,Jonathan5,Def,9
Michael7,na,8,Danny19,na,9
John4,Off,4,Jeffrey1,Off,7
Joeseph9,Def,7,Marcus17,Def,4
Jose15,Def,8,Ryan18,na,5
Score,,0,,,0
,,,,,
Game ID: ,1012,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Max14,Off,5
Alex2,Off,3,Khoman 6,Def,6
Vivien3,Off,8,Jessica10,Off,7
Chris20,Def,3,Jonathan5,Def,9
Michael7,na,8,Danny19,na,9
John4,Off,4,Jeffrey1,Off,7
Joeseph9,Def,7,Marcus17,Def,4
Jose15,Def,8,Ryan18,na,5
Score,,0,,,1
,,,,,
Game ID: ,1013,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Max14,Off,5
Marcus17,Def,4,Jonathan5,Def,9
Karen13,Def,7,Jeffrey1,Off,7
Martin16,Off,6,Joeseph9,Def,7
Alex2,Off,3,Vivien3,Off,8
Sherman12,Def,5,Chris20,Def,3
Frank8,Off,9,Jose15,Def,8
Score,,0,,,1
,,,,,
Game ID: ,1014,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Max14,Off,5
Marcus17,Def,4,Jonathan5,Def,9
Karen13,Def,7,Jeffrey1,Off,7
Martin16,Off,6,Joeseph9,Def,7
Alex2,Off,3,Vivien3,Off,8
Sherman12,Def,5,Chris20,Def,3
Frank8,Off,9,Jose15,Def,8
Score,,0,,,1
,,,,,
Game ID: ,1015,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Frank8,Off,9
Jessica10,Off,7,Tom11,na,3
Vivien3,Off,8,Sherman12,Def,5
Karen13,Def,7,Khoman 6,Def,6
Jose15,Def,8,John4,Off,4
Chris20,Def,3,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,1016,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Frank8,Off,9
Jessica10,Off,7,Tom11,na,3
Vivien3,Off,8,Sherman12,Def,5
Karen13,Def,7,Khoman 6,Def,6
Jose15,Def,8,John4,Off,4
Chris20,Def,3,Jeffrey1,Off,7
Score,,1,,,0
,,,,,
Game ID: ,1017,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jonathan5,Def,9
Michael7,na,8,Tom11,na,3
Martin16,Off,6,Frank8,Off,9
Sherman12,Def,5,Danny19,na,9
Score,,0,,,3
,,,,,
Game ID: ,1018,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jonathan5,Def,9
Michael7,na,8,Tom11,na,3
Martin16,Off,6,Frank8,Off,9
Sherman12,Def,5,Danny19,na,9
Score,,0,,,3
,,,,,
Game ID: ,1019,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Jonathan5,Def,9
Danny19,na,9,Chris20,Def,3
Jeffrey1,Off,7,Alex2,Off,3
Marcus17,Def,4,Joeseph9,Def,7
Sherman12,Def,5,Max14,Off,5
Score,,2,,,0
,,,,,
Game ID: ,1020,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Jonathan5,Def,9
Danny19,na,9,Chris20,Def,3
Jeffrey1,Off,7,Alex2,Off,3
Marcus17,Def,4,Joeseph9,Def,7
Sherman12,Def,5,Max14,Off,5
Score,,2,,,0
,,,,,
Game ID: ,1021,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jonathan5,Def,9
Danny19,na,9,Michael7,na,8
Jeffrey1,Off,7,John4,Off,4
Max14,Off,5,Frank8,Off,9
Sherman12,Def,5,Tom11,na,3
Jose15,Def,8,Vivien3,Off,8
Karen13,Def,7,Khoman 6,Def,6
Score,,2,,,0
,,,,,
Game ID: ,1022,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jonathan5,Def,9
Danny19,na,9,Michael7,na,8
Jeffrey1,Off,7,John4,Off,4
Max14,Off,5,Frank8,Off,9
Sherman12,Def,5,Tom11,na,3
Jose15,Def,8,Vivien3,Off,8
Karen13,Def,7,Khoman 6,Def,6
Score,,0,,,0
,,,,,
Game ID: ,1023,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Marcus17,Def,4
Michael7,na,8,Martin16,Off,6
Jonathan5,Def,9,Vivien3,Off,8
Tom11,na,3,Ryan18,na,5
Alex2,Off,3,Danny19,na,9
Sherman12,Def,5,,,
Score,,0,,,1
,,,,,
Game ID: ,1024,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Marcus17,Def,4
Michael7,na,8,Martin16,Off,6
Jonathan5,Def,9,Vivien3,Off,8
Tom11,na,3,Ryan18,na,5
Alex2,Off,3,Danny19,na,9
Sherman12,Def,5,,,
Score,,1,,,0
,,,,,
Game ID: ,1025,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Jose15,Def,8
Alex2,Off,3,Martin16,Off,6
Khoman 6,Def,6,Chris20,Def,3
Ryan18,na,5,Max14,Off,5
Tom11,na,3,Vivien3,Off,8
Score,,0,,,3
,,,,,
Game ID: ,1026,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Jose15,Def,8
Alex2,Off,3,Martin16,Off,6
Khoman 6,Def,6,Chris20,Def,3
Ryan18,na,5,Max14,Off,5
